all_values - INFO - 2025-05-14 19:50:00 all: {'teplota_vzduchu': 13.5, 'prizemni_teplota': 5.6, 'teplota_pudy_10cm': 13.5, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 55.177, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.8, 'tlak_vzduchu': 1007.4, 'globalni_zareni_Wm2': 0.8, 'napeti': 13}
all_values - INFO - 2025-05-14 20:10:00 all: {'teplota_vzduchu': 13, 'prizemni_teplota': 7, 'teplota_pudy_10cm': 13.4, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 58.541, 'smer_vetru_stupne_180_jih': 0, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1007.3, 'globalni_zareni_Wm2': 0.7, 'napeti': 13}
all_values - INFO - 2025-05-14 20:20:00 all: {'teplota_vzduchu': 12.8, 'prizemni_teplota': 7.6, 'teplota_pudy_10cm': 13.3, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 60.8, 'smer_vetru_stupne_180_jih': 0, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1007.3, 'globalni_zareni_Wm2': 0.7, 'napeti': 13}
all_values - INFO - 2025-05-14 20:30:00 all: {'teplota_vzduchu': 12.7, 'prizemni_teplota': 7.5, 'teplota_pudy_10cm': 13.3, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 61.263, 'smer_vetru_stupne_180_jih': 315, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.8, 'tlak_vzduchu': 1007.3, 'globalni_zareni_Wm2': 0.7, 'napeti': 13}
all_values - INFO - 2025-05-14 20:40:00 all: {'teplota_vzduchu': 12.3, 'prizemni_teplota': 7.5, 'teplota_pudy_10cm': 13.3, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 65.398, 'smer_vetru_stupne_180_jih': 90, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0.7, 'vlhkost_pudy': 18.8, 'tlak_vzduchu': 1007.4, 'globalni_zareni_Wm2': 0.7, 'napeti': 13}
all_values - INFO - 2025-05-14 20:40:00 all: {'teplota_vzduchu': 12.3, 'prizemni_teplota': 7.5, 'teplota_pudy_10cm': 13.3, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 65.398, 'smer_vetru_stupne_180_jih': 90, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0.7, 'vlhkost_pudy': 18.8, 'tlak_vzduchu': 1007.4, 'globalni_zareni_Wm2': 0.7, 'napeti': 13}
all_values - INFO - 2025-05-14 20:50:00 all: {'teplota_vzduchu': 12.4, 'prizemni_teplota': 6.3, 'teplota_pudy_10cm': 13.2, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 61.981, 'smer_vetru_stupne_180_jih': 0, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.8, 'tlak_vzduchu': 1007.3, 'globalni_zareni_Wm2': 0.7, 'napeti': 13}
all_values - INFO - 2025-05-14 20:50:00 all: {'teplota_vzduchu': 12.4, 'prizemni_teplota': 6.3, 'teplota_pudy_10cm': 13.2, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 61.981, 'smer_vetru_stupne_180_jih': 0, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.8, 'tlak_vzduchu': 1007.3, 'globalni_zareni_Wm2': 0.7, 'napeti': 13}
all_values - INFO - 2025-05-14 21:10:00 all: {'teplota_vzduchu': 11.6, 'prizemni_teplota': 5.3, 'teplota_pudy_10cm': 13.1, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 67.421, 'smer_vetru_stupne_180_jih': 0, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.8, 'tlak_vzduchu': 1007.1, 'globalni_zareni_Wm2': 0.8, 'napeti': 13}
all_values - INFO - 2025-05-14 21:20:00 all: {'teplota_vzduchu': 11.8, 'prizemni_teplota': 5.1, 'teplota_pudy_10cm': 13.1, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 64.93, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.8, 'tlak_vzduchu': 1007.1, 'globalni_zareni_Wm2': 0.8, 'napeti': 13}
