all_values - INFO - 2025-05-20 21:00:00 all: {'teplota_vzduchu': 10, 'prizemni_teplota': 3.7, 'teplota_pudy_10cm': 13.5, 'teplota_pudy_20cm': 13.2, 'teplota_pudy_30cm': 11.7, 'srazky': 0, 'vlhkost_vzduchu': 94.328, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1013.3, 'globalni_zareni_Wm2': 0.7, 'napeti': 13}
all_values - INFO - 2025-05-20 21:20:00 all: {'teplota_vzduchu': 10.3, 'prizemni_teplota': 3.6, 'teplota_pudy_10cm': 13.4, 'teplota_pudy_20cm': 13.2, 'teplota_pudy_30cm': 11.8, 'srazky': 0, 'vlhkost_vzduchu': 94.439, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0.4, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1013.4, 'globalni_zareni_Wm2': 0.8, 'napeti': 13}
all_values - INFO - 2025-05-20 21:30:00 all: {'teplota_vzduchu': 11, 'prizemni_teplota': 3.6, 'teplota_pudy_10cm': 13.3, 'teplota_pudy_20cm': 13.2, 'teplota_pudy_30cm': 11.8, 'srazky': 0, 'vlhkost_vzduchu': 92.389, 'smer_vetru_stupne_180_jih': 90, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0.1, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1013.3, 'globalni_zareni_Wm2': 0.8, 'napeti': 13}
all_values - INFO - 2025-05-20 21:50:00 all: {'teplota_vzduchu': 10.3, 'prizemni_teplota': 3.6, 'teplota_pudy_10cm': 13.3, 'teplota_pudy_20cm': 13.2, 'teplota_pudy_30cm': 11.8, 'srazky': 0, 'vlhkost_vzduchu': 91.307, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1013.4, 'globalni_zareni_Wm2': 0.7, 'napeti': 13}
all_values - INFO - 2025-05-20 22:10:00 all: {'teplota_vzduchu': 9.1, 'prizemni_teplota': 3.2, 'teplota_pudy_10cm': 13.2, 'teplota_pudy_20cm': 13.1, 'teplota_pudy_30cm': 11.8, 'srazky': 0, 'vlhkost_vzduchu': 93.067, 'smer_vetru_stupne_180_jih': 0, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1013.5, 'globalni_zareni_Wm2': 0.8, 'napeti': 12.9}
all_values - INFO - 2025-05-20 22:30:00 all: {'teplota_vzduchu': 8.3, 'prizemni_teplota': 2.8, 'teplota_pudy_10cm': 13.1, 'teplota_pudy_20cm': 13.1, 'teplota_pudy_30cm': 11.8, 'srazky': 0, 'vlhkost_vzduchu': 95.499, 'smer_vetru_stupne_180_jih': 0, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1013.5, 'globalni_zareni_Wm2': 0.7, 'napeti': 12.9}
all_values - INFO - 2025-05-20 22:40:00 all: {'teplota_vzduchu': 8.3, 'prizemni_teplota': 2.6, 'teplota_pudy_10cm': 13, 'teplota_pudy_20cm': 13.1, 'teplota_pudy_30cm': 11.8, 'srazky': 0, 'vlhkost_vzduchu': 97.028, 'smer_vetru_stupne_180_jih': 0, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1013.5, 'globalni_zareni_Wm2': 0.7, 'napeti': 12.9}
all_values - INFO - 2025-05-20 22:50:00 all: {'teplota_vzduchu': 8.3, 'prizemni_teplota': 2.5, 'teplota_pudy_10cm': 13, 'teplota_pudy_20cm': 13.1, 'teplota_pudy_30cm': 11.8, 'srazky': 0, 'vlhkost_vzduchu': 98.021, 'smer_vetru_stupne_180_jih': 0, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1013.5, 'globalni_zareni_Wm2': 0.7, 'napeti': 12.9}
all_values - INFO - 2025-05-20 23:20:00 all: {'teplota_vzduchu': 8, 'prizemni_teplota': 2.2, 'teplota_pudy_10cm': 12.8, 'teplota_pudy_20cm': 13.1, 'teplota_pudy_30cm': 11.8, 'srazky': 0, 'vlhkost_vzduchu': 99.238, 'smer_vetru_stupne_180_jih': 0, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1013.3, 'globalni_zareni_Wm2': 0.6, 'napeti': 12.9}
all_values - INFO - 2025-05-20 23:30:00 all: {'teplota_vzduchu': 7.8, 'prizemni_teplota': 2.1, 'teplota_pudy_10cm': 12.8, 'teplota_pudy_20cm': 13.1, 'teplota_pudy_30cm': 11.8, 'srazky': 0, 'vlhkost_vzduchu': 99.652, 'smer_vetru_stupne_180_jih': 0, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1013.3, 'globalni_zareni_Wm2': 0.6, 'napeti': 12.9}
